Nom;prix;imageUrl
Magnet 91 - Zürich Switzerland Limmat;1.70;/images/magnet/Magnet91.jpg
Magnet 92 - Piz Gloria Schilthorn;1.70;/images/magnet/Magnet92.jpg
Magnet 93 - cuckoo thermometer;1.70;/images/magnet/Magnet93.jpg
Magnet 94 - cuckoo / Swiss Vapeur Parc MM;1.70;/images/magnet/Magnet94.jpg
Magnet 95 - cuckoo;1.70;/images/magnet/Magnet95.jpg
Magnet 96 - Chillon castle cuckoo;1.70;/images/magnet/Magnet96.jpg
Magnet 97 - Bern Switzerland cuckoo bear;1.70;/images/magnet/Magnet97.jpg
Magnet 98 - Bern Switzerland Zytglogge;1.70;/images/magnet/Magnet98.jpg
Magnet 99 - Morcote City;1.70;/images/magnet/Magnet99.jpg
Magnet 100 - Simplon Pass eagle statue;1.70;/images/magnet/Magnet100.jpg
Magnet 101 - Cathedral Lausanne;1.70;/images/magnet/Magnet101.jpg
Magnet 102 - St-Bernard and puppies;1.70;/images/magnet/Magnet102.jpg
Magnet 103 - Les Pacots ski club;1.70;/images/magnet/Magnet103.jpg
Magnet 104 - Jungfraujoch relief;1.70;/images/magnet/Magnet104.jpg
Magnet 105 - Verbier snow Switzerland;1.70;/images/magnet/Magnet105.jpg
Magnet 106 - City view;1.70;/images/magnet/Magnet106.jpg
Magnet 107 - Bundeshaus;1.70;/images/magnet/Magnet107.jpg
Magnet 108 - Zytglogge;1.70;/images/magnet/Magnet108.jpg
Magnet 109 - Zytglogge;1.70;/images/magnet/Magnet109.jpg
Magnet 110 - Zytglogge;1.70;/images/magnet/Magnet110.jpg
Magnet 111 - Bear and cub tree;1.70;/images/magnet/Magnet111.jpg
Magnet 112 - Bern bear MM;1.70;/images/magnet/Magnet112.jpg
Magnet 113 - Zytglogge relief MM;1.70;/images/magnet/Magnet113.jpg
Magnet 114 - Bern badge MM;1.70;/images/magnet/Magnet114.jpg
Magnet 115 - St-Moritz;1.70;/images/magnet/Magnet115.jpg
Magnet 116 - Bottle-opener;2.00;/images/magnet/Magnet116.jpg
Magnet 116 - Bear figurine FIG;3.00;/images/magnet/Magnet116.jpg
Magnet 117 - Water jet Genève;1.70;/images/magnet/Magnet117.jpg
Magnet 117 - Bear figurine FIG;3.00;/images/magnet/Magnet117.jpg
Magnet 118 - City Cathedral relief MM;1.70;/images/magnet/Magnet118.jpg
Magnet 119 - Chillon castle MM;1.70;/images/magnet/Magnet119.jpg
Magnet 120 - Swiss badge MM;1.70;/images/magnet/Magnet120.jpg
Magnet 121 - Valais badge MM;1.70;/images/magnet/Magnet121.jpg
Magnet 122 - Flag. cow. edelweis. bell MM;2.00;/images/magnet/Magnet122.jpg
Magnet 123 - Matterhorn red letters;1.70;/images/magnet/Magnet123.jpg
Magnet 124 - I love Luzern MM;1.70;/images/magnet/Magnet124.jpg
Magnet 125 - I love Zermatt MM;1.70;/images/magnet/Magnet125.jpg
Magnet 126 - I love Genève water jet MM;1.70;/images/magnet/Magnet126.jpg
Magnet 127 - Cuckoo;1.70;/images/magnet/Magnet127.jpg
Magnet 128 - bottle-opener I love Swiss MM;2.00;/images/magnet/Magnet128.jpg
Magnet 129 - bottle-opener golden cow MM;2.00;/images/magnet/Magnet129.jpg
Magnet 131 - Switzerland cuckoo clock | bottle-opener swiss token MM;2.00;/images/magnet/Magnet131.jpg
Magnet 132 - Locarno panorama lake;1.70;/images/magnet/Magnet132.jpg
Magnet 134 - Bottle-opener relief MM;2.00;/images/magnet/Magnet134.jpg
Magnet 135 - Zermatt town Matterhorn;1.70;/images/magnet/Magnet135.jpg
Magnet 137 - Zermatt city;1.70;/images/magnet/Magnet137.jpg
Magnet 138 - Genève badge;1.70;/images/magnet/Magnet138.jpg
Magnet 139 - panorama;1.70;/images/magnet/Magnet139.jpg
Magnet 140 - Matterhorn 4470 m;1.70;/images/magnet/Magnet140.jpg
Magnet 141 - Zermatt Matterhorn;1.70;/images/magnet/Magnet141.jpg
Magnet 142 - St-Bernard with barrel;1.70;/images/magnet/Magnet142.jpg
Magnet 143 - Gruyères street Moleson;1.70;/images/magnet/Magnet143.jpg
Magnet 144 - Rheinfall Switzerland;1.70;/images/magnet/Magnet144.jpg
Magnet 145 - Dookie Crans-Montana;1.70;/images/magnet/Magnet145.jpg
Magnet 146 - Dookie skiing;1.70;/images/magnet/Magnet146.jpg
Magnet 147 - Dookie St-Moritz sign;1.70;/images/magnet/Magnet147.jpg
Magnet 148 - Davos Dookie sign;1.70;/images/magnet/Magnet148.jpg
Magnet 149 - Dookie Gruyères sign;1.70;/images/magnet/Magnet149.jpg
Magnet 150 - St-Bernard thermometer;2.00;/images/magnet/Magnet150.jpg
Magnet 152 - Red bell white cross MM;1.70;/images/magnet/Magnet152.jpg
Magnet 153 - Leman Lake grapes Lavaux;1.70;/images/magnet/Magnet153.jpg
Magnet 155 - Interlaken bilboard Dookie;1.70;/images/magnet/Magnet155.jpg
Magnet 156 - Grand St-Bernard cuckoo;1.70;/images/magnet/Magnet156.jpg
Magnet 157 - Genève cuckoo;1.70;/images/magnet/Magnet157.jpg
Magnet 158 - Zermatt cuckoo;1.70;/images/magnet/Magnet158.jpg
Magnet 159 - double-sided MM;;/images/magnet/Magnet159.jpg
Magnet 161 - Dookie Bern BE | Dookie GE Dookie Jungfraujoch IN L LU MO RHE ZE ZH;1.70;/images/magnet/Magnet161.jpg
Magnet 162 - Bear Zytglogge;1.70;/images/magnet/Magnet162.jpg
Magnet 163 - Matterhorn train;1.70;/images/magnet/Magnet163.jpg
Magnet 164 - Grand St-Bernard;1.70;/images/magnet/Magnet164.jpg
Magnet 165 - Zürich cuckoo;1.70;/images/magnet/Magnet165.jpg
Magnet 166 - St-Bernard;1.70;/images/magnet/Magnet166.jpg
Magnet 167 - Lanterbrunnen;1.70;/images/magnet/Magnet167.jpg
Magnet 168 - Metallic Postal bus;1.00;/images/magnet/Magnet168.jpg
Magnet 169 - Metallic Zermatt;1.00;/images/magnet/Magnet169.jpg
Magnet 170 - Metallic train;1.00;/images/magnet/Magnet170.jpg
Magnet 171 - Andermatt train;1.70;/images/magnet/Magnet171.jpg
Magnet 172 - Grossmunster Zürich MM;1.70;/images/magnet/Magnet172.jpg
Magnet 173 - Metallic Zürich;1.00;/images/magnet/Magnet173.jpg
Magnet 174 - Metallic Interlaken;1.00;/images/magnet/Magnet174.jpg
Magnet 175 - Matterhorn cabin landscape MM;2.00;/images/magnet/Magnet175.jpg
Magnet 176 - Andermatt ski;1.70;/images/magnet/Magnet176.jpg
Magnet 178 - Lucerne Kapellbrücke MM;1.70;/images/magnet/Magnet178.jpg
Magnet 179 - Nyon castle;1.70;/images/magnet/Magnet179.jpg
Magnet 181 - fondue pot;1.70;/images/magnet/Magnet181.jpg
Magnet 182 - Red cow head;1.70;/images/magnet/Magnet182.jpg
Magnet 183 - Red cow;1.70;/images/magnet/Magnet183.jpg
Magnet 184 - BW cow switzerland;1.70;/images/magnet/Magnet184.jpg
Magnet 185 - Costume magnets;;/images/magnet/Magnet185.jpg
Magnet 186 - Cuckoo;1.70;/images/magnet/Magnet184.jpg
Magnet 186 - Raclette and wine MM;1.70;/images/magnet/Magnet185.jpg
Magnet 187 - Cuckoo;1.70;/images/magnet/Magnet186.jpg
Magnet 188 - Cuckoo;1.70;/images/magnet/Magnet186.jpg
Magnet 189 - Cuckoo;1.70;/images/magnet/Magnet187.jpg
Magnet 190 - Magnet box;2.40;/images/magnet/Magnet188.jpg
Magnet 191 - Magnet box;2.40;/images/magnet/Magnet189.jpg
Magnet 192 - BASEL charm magnet;2.00;/images/magnet/Magnet190.jpg
Magnet 193 - Animals hand spinner;2.60;/images/magnet/Magnet191.jpg
Magnet 194 - Yellow plates hand spinner;2.60;/images/magnet/Magnet192.jpg
Magnet 195 - Bern Bear Magnet with bottle opener;;/images/magnet/Magnet193.jpg
Magnet 196 - Camera magnet GENEVA;1.70;/images/magnet/Magnet194.jpg
Magnet 197 - Camera magnet Bern bear;1.70;/images/magnet/Magnet195.jpg
Magnet 198 - Camera magnet Bern;1.70;/images/magnet/Magnet196.jpg
Magnet 199 - Camera magnet Switzerland;1.70;/images/magnet/Magnet197.jpg
Magnet 200 - Bicycles magnet GENEVA;1.70;/images/magnet/Magnet198.jpg
Magnet 201 - Bicycles magnet Bern;1.70;/images/magnet/Magnet199.jpg
Magnet 202 - Bicycles magnet Zürich;1.70;/images/magnet/Magnet200.jpg
Magnet 203 - Bear magnet with bottle opener UV printing Green.White. Pink.Blue;2.00;/images/magnet/Magnet201.jpg
Magnet 204 - Magnet Geneva broken chair;2.00;/images/magnet/Magnet202.jpg
Magnet 252 - Genève water jet;1.70;/images/magnet/Magnet203.jpg
Magnet 257 - Swiss mountains (magnet seins);1.70;/images/magnet/Magnet204.jpg
Magnet 258 - Luzern Kapellbrücke;1.70;/images/magnet/Magnet252.jpg
Magnet 260 - Bear I love Bern MM;;/images/magnet/Magnet257.jpg
Magnet 261 - Metallic Montreux;1.00;/images/magnet/Magnet258.jpg
Magnet 262 - Set Swiss DE;2.40;/images/magnet/Magnet260.jpg
Magnet 263 - Set Swiss FR;2.40;/images/magnet/Magnet261.jpg
Magnet 264 - Planchette aperitif;1.70;/images/magnet/Magnet262.jpg
Magnet 265 - Metallic Genève;1.00;/images/magnet/Magnet263.jpg
Magnet 266 - Metallic Bern;1.00;/images/magnet/Magnet264.jpg
Magnet 267 - Fondue pot | 30x15 Metallic plate MM;1.70;/images/magnet/Magnet265.jpg
Magnet 268 - Metallic Crans-Montana;1.00;/images/magnet/Magnet266.jpg
Magnet 269 - Metallic Lausanne | 30x15 Metallic plate MM;1.00;/images/magnet/Magnet267.jpg
Magnet 271 - Kapellbrücke Pilatus;1.70;/images/magnet/Magnet268.jpg
Magnet 272 - Swiss map rubber Red;1.00;/images/magnet/Magnet269.jpg
Magnet 273 - Swiss map rubber White;1.00;/images/magnet/Magnet271.jpg
Magnet 274 - Metallic red poya;1.20;/images/magnet/Magnet272.jpg
Magnet 275 - Metallic Pedestrian VS 10x3cm;1.20;/images/magnet/Magnet273.jpg
Magnet 276 - Metallic Pedestrian Lausanne 10x3cm;1.20;/images/magnet/Magnet274.jpg
Magnet 277 - Metallic Pedestrian Luzern 10x3cm;1.20;/images/magnet/Magnet275.jpg
Magnet 278 - Metallic Pedestrian Zermatt 10x3cm;1.20;/images/magnet/Magnet276.jpg
Magnet 279 - Metallic Pedestrian Interlaken 10x3cm;1.20;/images/magnet/Magnet277.jpg
Magnet 280 - Metallic Pedestrian Bern 10x3cm;1.20;/images/magnet/Magnet278.jpg
Magnet 281 - Metallic Pedestrian GE 10x3cm;1.20;/images/magnet/Magnet279.jpg
Magnet 282 - Metallic Pedestrian ZU 10x3cm;1.20;/images/magnet/Magnet282.jpg
Magnet 284 - Metallic Pedestrian Rheinfall 10x3cm;1.20;/images/magnet/Magnet284.jpg
Magnet 285 - Swiss map Interlaken;1.00;/images/magnet/Magnet285.jpg
Magnet 286 - Swiss map Lausanne;1.00;/images/magnet/Magnet286.jpg
Magnet 287 - Swiss map Luzern;1.00;/images/magnet/Magnet287.jpg
Magnet 288 - Swiss map Rheinfall;1.00;/images/magnet/Magnet288.jpg
Magnet 289 - Swiss map Zermatt (night);1.00;/images/magnet/Magnet289.jpg
Magnet 290 - Swiss map Zermatt;1.00;/images/magnet/Magnet290.jpg
Magnet 291 - Bear Bern Switzerland;1.70;/images/magnet/Magnet291.jpg
Magnet 292 - Swiss map Zürich;1.00;/images/magnet/Magnet292.jpg
Magnet 293 - Zytglogge;1.70;/images/magnet/Magnet293.jpg
Magnet 294 - Swiss map Genève;1.00;/images/magnet/Magnet294.jpg
Magnet 295 - Swiss map Bern;1.00;/images/magnet/Magnet295.jpg
Magnet 296 - Swiss map Montreux;1.00;/images/magnet/Magnet296.jpg
Magnet 297 - Swiss map Crans-Montana;1.00;/images/magnet/Magnet297.jpg
Magnet 298 - Metallic Pedestrian Gruyères 10x3cm;1.20;/images/magnet/Magnet298.jpg
Magnet 299 - Swiss map panorama;1.00;/images/magnet/Magnet299.jpg
Magnet 300 - Switzerland red MM;1.70;/images/magnet/Magnet300.jpg
Magnet 301 - bottle-opener Dookie MM;2.00;/images/magnet/Magnet301.jpg
Magnet 302 - Metallic cycle track;1.20;/images/magnet/Magnet302.jpg
Magnet 303 - Red cow over Switzerland text MM;1.70;/images/magnet/Magnet303.jpg
Magnet 304 - Fondue cheese. cow. bell MM;2.00;/images/magnet/Magnet304.jpg
Magnet 305 - Cow bell Switzerland MM;2.00;/images/magnet/Magnet305.jpg
